Manufacturer,Model,SoC,Chip Family,SRAM,Flash ROM,Pinout,Voltage,Price,Link (presoldered headers),Price2,Link (no soldered headers),Price ,Link (presoldered stacking headers),external flash,psram
Arduino,Mega 2560 Rev3,ATmega2560,ATmega,8 KB,256 KB,Arduino Mega,5,$40.30 ,https://store-usa.arduino.cc/collections/boards/products/arduino-mega-2560-rev3, N/A ,, N/A ,
Arduino,Micro,ATmega32U4,ATmega,2.5 KB,32 KB,Breadboardable,5,$20.70 ,https://store-usa.arduino.cc/collections/boards/products/arduino-micro,$18.40 ,https://store-usa.arduino.cc/collections/boards/products/arduino-micro-without-headers, N/A ,
Arduino,MKR GSM 1400,SAMD21,Cortex M0+,32 KB,256 KB,Breadboardable,3.3,$68.90 ,https://store-usa.arduino.cc/collections/boards/products/arduino-mkr-gsm-1400, N/A ,, N/A ,
Arduino,MKR Vidor 4000,SAMD21,Cortex M0+,32 KB,256 KB,Breadboardable,3.3,$72.40 ,https://store-usa.arduino.cc/collections/boards/products/arduino-mkr-vidor-4000, N/A ,, N/A ,
Arduino,MKR WAN 1310,SAMD21,Cortex M0+,32 KB,256 KB,Breadboardable,3.3,$38.00 ,https://store-usa.arduino.cc/collections/boards/products/arduino-mkr-wan-1310, N/A ,, N/A ,
Arduino,MKR Wifi 1000,SAMD21,Cortex M0+,32 KB,256 KB,Breadboardable,3.3,$38.00 ,https://store-usa.arduino.cc/collections/boards/products/arduino-mkr1000-wifi-with-headers-mounted,$36.80 ,https://store-usa.arduino.cc/collections/boards/products/arduino-mkr1000-wifi, N/A ,
Arduino,MKR Wifi 1010,SAMD21,Cortex M0+,32 KB,256 KB,Breadboardable,3.3,$32.10 ,https://store-usa.arduino.cc/collections/boards/products/arduino-mkr-wifi-1010, N/A ,, N/A ,
Arduino,MKR Zero,SAMD21,Cortex M0+,32 KB,256 KB,Breadboardable,3.3,$25.20 ,https://store-usa.arduino.cc/collections/boards/products/arduino-mkr-zero-i2s-bus-sd-for-sound-music-digital-audio-data, N/A ,, N/A ,
Arduino,Nano,ATmega328,ATmega,2 KB,32 KB,Breadboardable,5,$20.70 ,https://store-usa.arduino.cc/collections/boards/products/arduino-nano, N/A ,, N/A ,
Arduino,Nano 33 BLE,nRF52840,Cortex M4,256 KB,1 MB,Breadboardable,3.3,$22.50 ,https://store-usa.arduino.cc/collections/boards/products/arduino-nano-33-ble-with-headers,$20.20 ,https://store-usa.arduino.cc/collections/boards/products/arduino-nano-33-ble, N/A ,
